,API_NUMBER,LATITUDE,LONGITUDE
125607,120190144300.0,40.26757,-88.427496
125608,120190144400.0,40.288399,-88.394331
125609,120190144500.0,40.270875,-88.431934
125610,120190144600.0,40.281758,-88.431861
125611,120190144700.0,40.30373,-88.393839
125612,120190144800.0,40.289493,-88.422657
125613,120190144900.0,40.267452,-88.408466
125614,120190145300.0,40.263352,-88.431978
125615,120190145400.0,40.277971,-88.402968
125616,120190145600.0,40.288776,-88.441638
125617,120190145700.0,40.2744,-88.427135
125618,120190145900.0,40.259699,-88.436641
125619,120190147900.0,40.259735,-88.419202
125620,120190148300.0,40.113853,-88.162303
125621,120190148400.0,40.113687,-88.16203
125625,120192188900.0,40.245489,-88.39462
125627,120192196500.0,39.880597,-88.190126
125628,120192197000.0,40.277481,-88.389741
125629,120192213400.0,40.24137,-88.398399
125630,120192235400.0,40.281877,-88.383873
125631,120192239700.0,40.299879,-88.436819
125632,120192240100.0,40.252169,-88.381865
129830,120192320201.0,40.048191,-88.037255
130304,120190012103.0,40.295805,-88.441131
130826,120192258100.0,40.393825,-88.369453
130827,120192258200.0,40.384625,-88.357669
133720,120190132500.0,40.283753,-88.002116
133721,120190134900.0,39.980044,-88.028333
133722,120190135000.0,39.980987,-87.994915
133723,120190135100.0,40.312244,-88.040803
133724,120190135200.0,40.254486,-87.967895
133725,120190135300.0,40.283541,-88.078962
133726,120190135400.0,40.253993,-88.001658
133727,120190128400.0,39.967049,-88.038134
133728,120190128500.0,40.046898,-87.957813
133729,120190128600.0,40.010384,-87.967471
133730,120190128700.0,39.966967,-87.986844
133731,120190130800.0,40.340111,-88.34659
133732,120190130900.0,40.325343,-88.328122
133733,120190131100.0,40.295773,-88.32764
133734,120190132200.0,39.89433,-87.9382
133886,120190132400.0,40.117849,-87.994763
133890,120190110500.0,40.062934,-88.425838
133891,120190110700.0,40.054986,-88.349907
133892,120190110800.0,40.055171,-88.313624
133893,120190111200.0,40.056095,-88.27597
133894,120190111300.0,40.053952,-88.243496
133895,120190112800.0,40.005806,-88.294478
133896,120190112900.0,40.015714,-88.349494
133897,120190113000.0,40.000341,-88.406735
133898,120190113100.0,40.079704,-88.294973
133899,120190075800.0,40.134718,-88.440884
133900,120190075900.0,40.13467,-88.455016
133901,120190076000.0,40.142069,-88.436101
133902,120190076100.0,40.131146,-88.426668
133903,120190076700.0,40.124377,-88.462986
133904,120190076800.0,40.116791,-88.445078
133905,120190109400.0,40.021777,-88.445066
133906,120190110200.0,40.052825,-88.38797
133917,120190073700.0,40.156931,-88.426343
133918,120190074600.0,40.156817,-88.407281
133923,120190074700.0,40.170961,-88.407822
134576,120190052200.0,40.181134,-88.164326
134732,120190011700.0,40.393817,-88.357615
140353,120192401600.0,40.270777,-88.407873
140354,120192401700.0,40.267563,-88.443589
140355,120192401800.0,40.26756,-88.443877
143462,120190031100.0,39.935776,-87.999685
143463,120190034800.0,40.039343,-88.153863
143464,120190049200.0,40.197761,-88.375892
143465,120190049900.0,40.182161,-88.426566
143482,120190008000.0,39.963922,-88.27367
143514,120192320200.0,40.048191,-88.037255
143793,120190000900.0,39.938726,-88.067948
143794,120190001400.0,39.986589,-88.258726
143799,120190012800.0,40.281809,-88.427412
143806,120190015300.0,40.281796,-88.412856
143807,120190020800.0,40.142077,-88.318274
143808,120190021400.0,40.288977,-88.413512
143939,120190023100.0,39.914074,-88.297068
143948,120190028001.0,40.281789,-88.412446
143949,120190028100.0,40.267115,-88.412657
143950,120190028300.0,40.275023,-88.422769
143951,120190028400.0,40.281759,-88.411221
143952,120190028500.0,40.274634,-88.412554
143953,120190028600.0,40.274612,-88.404152
143954,120190028900.0,40.083973,-88.348955
143955,120190029000.0,40.067972,-88.407202
143956,120190032800.0,40.023108,-88.250089
143957,120190034900.0,40.013231,-88.232332
143958,120190038000.0,39.882823,-88.287866
143959,120190038400.0,40.135273,-88.266537
143960,120190039700.0,40.127613,-88.346861
143961,120190039800.0,40.120718,-88.347079
143962,120190040900.0,40.110963,-88.241373
143963,120190042400.0,40.100556,-88.335488
144079,120190042500.0,40.102296,-88.342356
144080,120190042600.0,40.105787,-88.342632
144081,120190042700.0,40.105882,-88.337926
144082,120190042800.0,40.109306,-88.333365
144083,120190043100.0,40.091489,-88.341083
144084,120190043200.0,40.095013,-88.342171
144089,120190048300.0,40.084038,-88.152935
144090,120190048400.0,40.085677,-88.134157
144091,120190048600.0,40.10965,-88.052279
144092,120190050700.0,40.200412,-88.343619
144093,120190050800.0,40.200142,-88.296536
144094,120190051100.0,40.177631,-88.323316
144095,120190051300.0,40.179227,-88.257232
144096,120190051800.0,40.142935,-88.318209
144097,120190051900.0,40.153883,-88.314829
144098,120190052000.0,40.172865,-88.210681
144099,120190052400.0,40.17776,-88.157342
144100,120190052500.0,40.181458,-88.157354
144101,120190055800.0,40.311716,-88.359898
144102,120190056300.0,40.311919,-88.331426
144103,120190060400.0,40.267356,-88.40436
144104,120190061500.0,40.281718,-88.423141
144105,120190061600.0,40.26671,-88.422379
144106,120190061800.0,39.880099,-88.303301
144107,120190062100.0,40.270862,-88.418028
144108,120190062200.0,40.278274,-88.417642
144109,120190062300.0,40.282649,-88.403355
144110,120190063400.0,40.270846,-88.408452
144111,120190064700.0,40.278258,-88.40839
144112,120190064800.0,40.259742,-88.422477
144113,120190066700.0,39.970084,-88.084583
144114,120190068600.0,40.259815,-88.432698
144115,120190068800.0,40.259526,-88.412938
144116,120190068900.0,40.274724,-88.4318
144704,120190151500.0,40.307228,-88.346465
144705,120190151600.0,40.311435,-88.328554
144706,120190151700.0,40.317897,-88.343562
144842,120190136000.0,39.944792,-87.976231
144843,120190136100.0,39.988204,-88.009853
144844,120190136200.0,40.342054,-87.969399
144846,120190142200.0,40.355867,-88.124748
144851,120190142300.0,40.323537,-88.076068
144852,120190151200.0,40.332727,-88.30868
