,API_NUMBER,LATITUDE,LONGITUDE
37379,120010084400.0,39.951148,-90.927669
37380,120010085400.0,39.953022,-90.932463
43427,120012312301.0,39.912219,-90.927129
43428,120012316601.0,39.915382,-90.928683
43557,120012315900.0,39.911277,-90.922618
48694,120010057100.0,39.801447,-91.186267
52869,120012240500.0,39.925609,-91.156064
53031,120012283800.0,39.926987,-91.273268
53289,120012280800.0,40.173134,-90.957444
53423,120012309000.0,39.88572,-90.970388
54429,120012308400.0,39.800325,-90.950689
54482,120012316600.0,39.915382,-90.928683
55054,120012137402.0,39.952918,-90.922874
55059,120012156801.0,39.938785,-90.94939
55061,120012156602.0,39.938341,-90.925317
55062,120012116801.0,39.915636,-90.932106
55937,120012309100.0,39.874802,-90.967995
58570,120012244400.0,39.927648,-90.92649
60318,120012241800.0,39.996398,-91.028437
60319,120012241900.0,39.917552,-90.922259
61958,120012175900.0,39.91065,-90.949084
64148,120012117601.0,39.907008,-90.927503
64149,120012186801.0,40.136686,-91.01461
65522,120010009500.0,40.06106,-91.234682
65992,120012242100.0,39.926564,-90.941641
71193,120012222500.0,39.853794,-91.137639
71248,120012168200.0,39.924833,-90.916588
71249,120012168400.0,39.945938,-91.085833
71250,120012168600.0,39.959662,-91.009021
71251,120012163100.0,40.191661,-91.026133
71252,120012163200.0,40.141405,-91.026206
71253,120012163300.0,40.173432,-91.063502
71254,120012163400.0,39.960216,-90.922879
71255,120012163500.0,39.971496,-91.097937
71256,120012163700.0,40.080227,-90.998448
71429,120012167000.0,40.020846,-90.932766
71430,120012167101.0,39.966704,-90.999502
71431,120012167200.0,39.964934,-90.999518
71432,120012167501.0,39.915734,-90.920086
71433,120012167600.0,39.802141,-90.950719
71434,120012167700.0,39.802136,-90.953121
71435,120012167800.0,39.803985,-90.952973
71436,120012168000.0,39.944938,-91.00431
75690,120012314300.0,39.792969,-90.952988
76059,120012315700.0,39.907125,-90.922788
76060,120012315800.0,39.908355,-90.920326
76606,120012317700.0,39.912195,-90.924929
90882,120012200401.0,39.912484,-90.97022
97993,120012308500.0,39.800329,-90.948341
99004,120012196800.0,39.902065,-90.963231
99005,120012196900.0,39.892959,-90.982205
99006,120012197000.0,39.873045,-90.984671
99007,120012197200.0,39.873092,-90.99428
99008,120012180700.0,39.906972,-90.944258
99009,120012180800.0,39.906954,-90.941893
99010,120012180900.0,39.902068,-90.962084
99011,120012181000.0,39.901141,-90.95628
99012,120012181300.0,39.900279,-90.994079
99028,120012165800.0,39.974741,-91.069628
99029,120012166000.0,39.929134,-90.916066
99030,120012166100.0,39.929153,-90.918644
99149,120010059200.0,39.964282,-90.946917
99150,120010058800.0,39.960433,-90.937285
99151,120010055800.0,39.943579,-91.047731
99152,120010052800.0,39.889255,-90.994198
99153,120010056000.0,39.878962,-90.951523
99154,120010052900.0,39.925764,-91.240853
101819,120012162500.0,40.052869,-91.009049
101820,120012162700.0,40.189041,-91.045315
101821,120012162900.0,39.921114,-90.94421
101822,120012163000.0,39.928275,-90.979597
101823,120010049100.0,39.90013,-90.949106
101824,120010048800.0,39.914011,-90.920151
101825,120010048801.0,39.914011,-90.920151
101826,120010042600.0,39.912189,-90.920182
101827,120012177800.0,39.851442,-91.164818
101828,120012177900.0,39.85875,-91.152824
101829,120012178100.0,39.830042,-90.934395
101830,120012178200.0,39.828415,-90.927219
101831,120012178300.0,39.830275,-90.927243
101832,120012178700.0,40.065927,-91.20622
101833,120012178800.0,40.038776,-91.208771
101834,120012179000.0,39.95191,-90.982758
101835,120012179100.0,39.93507,-90.946933
101836,120012179200.0,40.007962,-91.107303
101837,120012179800.0,39.917534,-90.956299
101838,120012179900.0,39.925256,-91.02718
101839,120012180600.0,39.908773,-90.941891
101840,120012185600.0,39.901938,-90.944226
101841,120012185900.0,39.847495,-90.936973
101842,120012186000.0,39.849339,-90.936964
101843,120012186100.0,39.845718,-90.939429
101844,120012186300.0,39.861325,-91.142748
101845,120012186600.0,39.934668,-90.922998
101846,120012186700.0,39.932843,-90.923022
101847,120012186800.0,40.136686,-91.01461
101848,120012186900.0,40.177695,-91.352132
101849,120012187000.0,40.178744,-91.313567
101850,120012187100.0,40.173243,-91.315935
101851,120012187300.0,39.978836,-90.953985
101852,120012187700.0,39.953989,-90.997153
101853,120012187800.0,39.952361,-91.011421
101854,120012187900.0,39.948478,-91.014149
101855,120012188100.0,39.943144,-91.004336
101856,120012188200.0,39.971654,-91.105029
101857,120012188600.0,39.930041,-90.979584
101978,120012189000.0,39.848392,-91.110606
101979,120012190000.0,39.823227,-90.920033
101980,120012190700.0,40.064762,-90.946337
101981,120012191000.0,40.078079,-91.081973
101982,120012191200.0,40.175451,-91.19932
101983,120012191300.0,39.977188,-90.980435
101984,120012191400.0,39.988211,-90.980339
101985,120012191500.0,39.953298,-90.944491
101986,120012191600.0,39.95415,-91.009046
101987,120012191700.0,39.959716,-91.014119
101988,120012191800.0,39.953032,-91.076612
101989,120012192000.0,39.929929,-90.972472
101990,120012192100.0,39.929929,-90.972472
101991,120010008400.0,39.829712,-90.972134
101992,120010009600.0,39.843735,-90.994069
101993,120010004200.0,39.809526,-90.976879
101994,120010005000.0,39.784042,-90.922101
101995,120010005200.0,39.772902,-90.938585
101996,120010004300.0,39.769282,-90.91958
101997,120010037700.0,40.074806,-91.113649
101998,120010036900.0,40.089041,-91.072137
101999,120010036500.0,40.080345,-91.108621
102000,120012210600.0,39.850966,-91.339096
102001,120012210700.0,39.770969,-90.953018
102002,120012210800.0,39.806657,-91.349023
102003,120012211000.0,39.991579,-90.961165
102004,120012211100.0,39.837027,-90.965231
102005,120012211200.0,39.84383,-90.956055
102006,120012211300.0,39.820619,-90.94381
102007,120012211400.0,39.805841,-90.960266
102008,120012211500.0,39.789303,-90.955327
102009,120012212000.0,39.913725,-91.209356
102010,120012212100.0,39.894146,-91.231416
102011,120012212300.0,39.917459,-90.941758
102012,120012212700.0,39.857699,-91.284738
102013,120012214500.0,39.847506,-90.936955
102014,120012214600.0,39.847387,-91.353128
102015,120012214700.0,39.78145,-91.172312
102016,120012218800.0,39.871455,-91.15269
102110,120010000400.0,40.051772,-90.995909
102111,120010000500.0,40.059511,-90.963262
102112,120010000600.0,40.054067,-90.932719
102113,120010000700.0,40.038955,-90.915388
102114,120010001300.0,40.020499,-91.090628
102115,120010001500.0,40.109237,-91.40366
102116,120010002600.0,40.125415,-91.045052
102117,120010003300.0,39.788403,-90.95177
102118,120010005100.0,39.763725,-90.926686
102119,120010008800.0,39.822424,-90.974559
102120,120010009000.0,39.829751,-90.96278
102121,120010009200.0,39.833365,-90.969845
102122,120010009900.0,39.917513,-90.941827
102123,120010010100.0,39.915624,-90.939408
102124,120010010700.0,40.054385,-90.987413
102125,120010016500.0,40.17347,-91.19943
102126,120010017900.0,40.110051,-91.203187
102127,120010018800.0,39.971316,-91.103508
102128,120010019600.0,39.946991,-91.251349
102129,120010023200.0,39.935714,-91.281263
102130,120010023500.0,39.988527,-91.442009
102131,120010032300.0,39.915653,-90.929741
102132,120010032400.0,39.917432,-90.936911
102133,120010032800.0,39.92919,-90.923546
102134,120010033000.0,39.938423,-90.915792
102135,120010033200.0,39.949866,-90.970765
102136,120010033300.0,39.917498,-90.92719
102137,120010033400.0,39.912176,-90.937376
102138,120012219700.0,39.875907,-91.145279
102139,120012219800.0,39.874086,-91.135047
102140,120012220100.0,39.93873,-90.946944
102141,120012220300.0,39.87957,-91.142531
102142,120012220400.0,39.882452,-91.15257
102143,120012220500.0,39.857217,-91.195827
102144,120012220600.0,39.844239,-91.171917
102145,120012220900.0,39.92787,-90.947874
102146,120012221100.0,39.868598,-91.13512
102147,120012221300.0,39.862407,-91.172017
102148,120012221600.0,39.853589,-91.195843
102149,120012222100.0,39.855671,-91.137626
102150,120012222300.0,39.853675,-91.205365
102151,120012222400.0,39.868566,-91.124834
102152,120012222700.0,39.848269,-91.135318
102153,120012222800.0,39.86081,-91.191075
102154,120012223200.0,39.842632,-91.228363
102155,120012228400.0,39.866292,-91.065402
102156,120012228900.0,39.829705,-90.979266
102157,120012229700.0,39.866291,-91.063016
102158,120012230200.0,39.872265,-91.145333
102257,120010033500.0,39.921183,-90.972521
102258,120010033600.0,39.863843,-90.965634
102259,120010033700.0,39.974843,-90.927618
102260,120010035300.0,39.914014,-90.918316
102261,120010035400.0,39.922441,-90.934275
102262,120010035500.0,39.919091,-90.953829
102263,120010035600.0,39.924937,-90.941912
102264,120010035700.0,39.938819,-90.954038
102265,120010035800.0,39.914198,-90.924793
102266,120010035900.0,39.914002,-90.927323
102267,120010036100.0,39.929183,-90.926418
102268,120010036200.0,39.924738,-90.931733
102269,120010036300.0,39.915426,-90.927356
102270,120010037000.0,40.002297,-90.9419
102271,120010037100.0,39.947417,-90.920503
102272,120010037200.0,39.927479,-90.93673
102273,120010044200.0,40.075943,-91.253829
102274,120010044300.0,39.937023,-90.956436
102275,120010044400.0,39.976967,-91.100365
102276,120010044500.0,39.929577,-90.951419
102277,120010044600.0,39.91556,-90.932237
102278,120010044700.0,39.931673,-90.94929
102279,120010044800.0,39.931553,-90.951682
102280,120010045600.0,39.908646,-90.920322
102281,120010045700.0,39.927445,-90.934367
102282,120010045800.0,39.910613,-90.944233
102283,120010047300.0,40.139966,-91.238695
102284,120010047500.0,39.914005,-90.924796
102285,120010047600.0,39.908737,-90.936962
102286,120010047700.0,39.887526,-90.9657
102287,120010047800.0,39.93832,-90.92295
102288,120010047900.0,40.100837,-91.212602
102289,120010048000.0,39.921098,-90.931892
102290,120010048100.0,39.91092,-90.948225
102291,120010048400.0,39.844268,-91.045816
102292,120010048500.0,39.913955,-90.927308
102293,120010051200.0,39.917446,-90.939392
102294,120010051301.0,39.927773,-90.941626
102295,120010051700.0,39.912258,-90.929793
102296,120010051800.0,39.933247,-90.921316
102297,120010052000.0,39.910633,-90.946689
102415,120010052200.0,39.929063,-90.941789
102416,120010052300.0,39.938559,-90.939675
114569,120010056701.0,39.940118,-90.920563
116105,120012250500.0,39.898375,-90.949123
116132,120012251400.0,39.897862,-90.951535
116487,120012254400.0,39.900186,-90.949107
116535,120010046600.0,39.888018,-91.174259
116537,120010035100.0,39.905134,-90.923304
116539,120010027100.0,39.912959,-91.285631
116699,120010042000.0,39.943499,-90.960182
117031,120010032200.0,39.915167,-90.941775
117137,120012164101.0,39.954853,-91.07662
117188,120010057400.0,39.865185,-91.272842
121862,120012199601.0,39.912449,-90.963233
125397,120010098900.0,39.912739,-91.246304
125398,120012106400.0,40.128851,-91.09545
125399,120012107100.0,39.898151,-91.250703
125404,120012110800.0,39.917325,-91.247552
125405,120012147100.0,39.913882,-90.923779
125406,120012147200.0,39.949314,-90.92642
125407,120012147300.0,39.908453,-90.920687
125408,120012155800.0,39.908684,-90.927462
125409,120012156500.0,39.936477,-90.920611
125410,120012156700.0,39.811554,-91.112147
125411,120012156800.0,39.938785,-90.94939
125412,120012159900.0,39.828688,-90.920108
125682,120010008300.0,39.884193,-91.167123
125683,120010031700.0,39.890325,-91.221413
125684,120010014500.0,40.166034,-90.913582
125685,120010036600.0,40.162743,-90.94206
125686,120010037600.0,40.108011,-90.959969
125687,120010016000.0,40.136716,-91.051082
125688,120010015500.0,40.185229,-91.135826
125689,120010014100.0,40.073849,-91.398523
125690,120010027500.0,39.869684,-91.295368
125691,120012161300.0,39.90089,-90.932317
125692,120012161400.0,39.940171,-90.925319
125693,120012161500.0,39.940148,-90.922926
125694,120012161600.0,40.048988,-90.992534
125695,120012161700.0,40.076114,-90.972326
125696,120012161800.0,40.186311,-91.045359
125697,120012161900.0,39.902061,-90.960901
125698,120012162100.0,40.178893,-91.045479
125699,120012162200.0,40.17225,-91.374131
125700,120012176500.0,40.170428,-91.374179
125701,120012176700.0,39.929209,-90.926379
125702,120012176800.0,39.922542,-91.020137
125703,120012177000.0,39.911367,-91.017844
125704,120012177300.0,39.912298,-90.956287
125705,120012177500.0,39.925985,-91.034377
125706,120012177600.0,39.865928,-91.164879
125707,120012177700.0,39.873164,-91.167237
125708,120012174200.0,39.924793,-90.951431
125709,120012174300.0,39.924933,-90.989135
125710,120012174400.0,39.926719,-90.986753
125711,120012174500.0,39.914105,-90.953923
125826,120012174700.0,39.860174,-90.936907
125827,120012174800.0,39.858397,-90.929807
125828,120012174900.0,39.851145,-90.925065
125829,120012175101.0,40.083884,-91.101275
125830,120012176300.0,40.051821,-90.924897
125831,120012164900.0,39.922936,-90.944197
125832,120012168800.0,39.977138,-91.107477
125833,120012169700.0,39.907274,-90.95386
125834,120012170200.0,39.960184,-90.920454
125835,120012171600.0,39.903902,-90.970254
125836,120012172000.0,39.873822,-91.091444
125837,120012172200.0,39.960242,-90.925244
125838,120012173101.0,39.917632,-90.970256
125839,120012173200.0,39.910713,-90.958573
125840,120012175000.0,39.794562,-91.031286
125841,120012175700.0,39.915697,-90.953927
125842,120012175800.0,39.912251,-90.949085
125843,120012176200.0,40.053641,-90.924851
125844,120012176400.0,40.058959,-91.215649
125845,120012177100.0,39.912598,-90.98446
125846,120012177200.0,39.907185,-90.958603
125847,120012177400.0,39.915686,-90.951453
125848,120012178400.0,39.770686,-90.993274
125849,120012178500.0,39.804289,-90.924663
125850,120012178900.0,39.921163,-90.95394
125851,120012180300.0,39.915712,-90.956293
125852,120012183400.0,40.168347,-90.946763
125853,120012183500.0,40.175282,-90.927676
125854,120012183600.0,40.002279,-91.093059
125855,120012183700.0,39.998685,-91.095482
125856,120012184100.0,39.908891,-90.958571
125857,120012184200.0,39.907302,-90.960935
125858,120012184300.0,39.905474,-90.958564
125859,120012189700.0,39.829877,-90.988886
125860,120012190600.0,39.861063,-91.101037
125861,120012192200.0,39.929779,-90.963215
125862,120012192500.0,39.908831,-90.949082
125863,120012192600.0,39.908812,-90.946619
125864,120012192900.0,39.875489,-91.193292
125979,120012193000.0,39.880502,-91.1648
125980,120010054500.0,40.123956,-91.036938
125981,120010032500.0,40.139019,-91.362995
125982,120010008900.0,39.802188,-90.934068
125983,120010005300.0,39.830042,-90.934395
125984,120012192300.0,39.915648,-90.944248
125985,120012192400.0,39.914041,-90.94425
125986,120012197400.0,39.858488,-91.015566
125987,120012197500.0,39.854764,-90.932176
125988,120012197600.0,39.849328,-90.922664
125989,120012197700.0,39.864446,-91.05344
125990,120012198100.0,39.864791,-91.11065
125991,120012198500.0,39.853557,-91.062979
125992,120012198600.0,39.867322,-91.343424
125993,120012198900.0,39.827881,-90.998238
125994,120012199200.0,39.802136,-90.953121
125995,120012199300.0,39.803984,-90.955514
125996,120012199400.0,39.976911,-90.946823
125997,120012200100.0,39.908936,-90.967891
125998,120012200200.0,39.907211,-90.965593
125999,120012200300.0,39.912351,-90.9656
126000,120012200500.0,39.914186,-90.967893
126001,120012200600.0,39.914213,-90.97255
126002,120012201100.0,39.814907,-91.031311
126003,120012201200.0,39.81547,-91.047976
126004,120012201900.0,39.795083,-91.066821
126005,120012202000.0,39.794656,-91.033603
126006,120012202100.0,39.789252,-91.035882
126007,120012202200.0,39.908903,-90.960936
126008,120012205900.0,39.889346,-90.958676
126009,120012207300.0,39.908692,-90.934509
126010,120012208100.0,39.906978,-90.932241
126011,120012208200.0,39.906999,-90.934607
126012,120012208600.0,40.073027,-91.126064
126013,120012209400.0,39.90537,-90.934613
126014,120012209500.0,39.905211,-90.932259
126015,120012217100.0,39.871161,-90.917971
126016,120012217400.0,39.829731,-90.967459
126017,120012223300.0,39.844644,-91.209654
129899,120010045901.0,39.910767,-90.925042
129900,120010043401.0,39.912045,-90.925007
129901,120010047102.0,39.910456,-90.927409
129964,120012221400.0,39.856998,-91.174413
129965,120012221500.0,39.875129,-91.147794
129966,120012222200.0,39.878769,-91.152609
129967,120012220700.0,39.861314,-91.140383
129968,120012221200.0,39.863123,-91.135192
129969,120012217900.0,39.851472,-91.150546
129970,120012218000.0,39.87508,-91.153063
129971,120012218200.0,39.855102,-91.144611
129972,120012215200.0,39.867857,-91.147891
129973,120012216200.0,39.848055,-91.187178
129974,120012216300.0,39.850925,-91.182982
129975,120012176601.0,39.938252,-90.915774
129976,120012205701.0,39.913925,-90.927505
129977,120012209300.0,39.951687,-90.961278
129978,120012209600.0,39.84993,-91.142914
129979,120012209800.0,39.867798,-91.157566
129980,120012209900.0,39.855098,-91.167906
129981,120012210000.0,39.855294,-91.183961
129982,120012210100.0,39.822876,-91.135044
129983,120012211600.0,39.865641,-90.949001
129984,120012211700.0,39.860271,-90.989389
129985,120012212400.0,39.864173,-91.158773
129986,120012212500.0,39.848192,-91.20068
129987,120012212600.0,39.853285,-91.155295
130800,120012155801.0,39.908684,-90.927462
130901,120012156601.0,39.938341,-90.925317
130902,120012160500.0,39.953056,-90.922873
130903,120012162300.0,39.772585,-90.967139
130904,120012162800.0,39.77262,-90.964786
130905,120012166200.0,39.92844,-90.918719
130906,120012168900.0,39.928437,-90.939252
130907,120012169000.0,39.928388,-90.936713
130908,120012169100.0,39.856534,-90.956201
130909,120012169200.0,39.85834,-90.956149
130910,120012169600.0,39.910556,-90.936956
130911,120012164500.0,39.924772,-90.947096
130912,120012165000.0,39.913892,-90.934573
130913,120012165400.0,40.114911,-91.027503
130919,120012173900.0,40.058202,-91.109045
130920,120012175400.0,39.917551,-90.958765
130921,120012175600.0,39.912173,-90.93695
130922,120012176000.0,39.912235,-90.946618
130926,120012180401.0,39.914133,-90.95858
130929,120012183300.0,39.817087,-91.261458
130930,120012184601.0,39.912283,-90.953921
130931,120012185000.0,39.908869,-90.953911
130935,120012188300.0,39.928129,-90.965583
130936,120012188400.0,39.926486,-90.967857
130937,120012188500.0,39.922934,-90.965592
130938,120012188800.0,39.912171,-90.932186
130939,120012189800.0,39.829706,-90.984035
130940,120012189900.0,39.827878,-90.981673
131043,120012190201.0,39.811399,-90.941286
131044,120012190501.0,39.949644,-90.944494
131045,120012191100.0,40.076281,-91.177204
131046,120012191900.0,39.91747,-90.944239
131047,120012193100.0,39.8642,-91.152766
131048,120012193400.0,39.820597,-90.976947
131049,120012194000.0,39.801916,-90.993439
131050,120012194100.0,39.803829,-90.99344
131052,120012194800.0,39.843531,-91.348692
131053,120012195200.0,40.114848,-90.928711
131057,120012199800.0,39.914158,-90.963236
131060,120012202500.0,40.080661,-91.1411
131061,120012202600.0,39.912323,-90.960943
131062,120012202900.0,39.915713,-90.922501
131063,120012203600.0,39.917565,-90.960949
131064,120012203700.0,39.917584,-90.963236
131065,120012207100.0,39.904105,-90.989261
131066,120012207200.0,39.914145,-90.960946
131067,120012207400.0,39.90027,-90.984506
131068,120012207700.0,39.842174,-90.999629
140550,120012163900.0,40.04089,-90.929981
140551,120012164000.0,39.913993,-90.93213
140552,120012164100.0,39.954853,-91.07662
140553,120012164200.0,39.917557,-90.919968
