,API_NUMBER,LATITUDE,LONGITUDE
517334,121990005200,37.788657,-88.783014
397017,120973414800,42.456355,-88.100645
180164,121930234301,37.919017,-88.320534
117841,121010574203,38.652602,-87.706034
280515,120912354500,41.193206,-87.762995
251852,121113782700,42.297363,-88.492726
333369,121792331900,40.574034,-89.63521
478115,120312627000,41.792878,-87.580077
570082,120690003600,37.491568,-88.224718
265848,121433223700,40.763264,-89.954194
124958,121910184900,38.473142,-88.436806
272973,121530009700,37.186303,-89.111252
410484,121192876000,38.836156,-90.084494
122212,121850266400,38.515965,-87.929057
222797,120692072800,37.492723,-88.391536
269139,121432463500,40.737203,-89.678561
476899,120312670700,41.856111,-87.826149
303295,121114479200,42.198912,-88.30176
311718,121192383500,38.830515,-90.037808
137226,121050029300,41.052322,-88.931137
425916,120032045200,37.215119,-89.42303
247001,120432875000,41.874008,-88.181346
467655,121432525200,40.588782,-89.87268
95682,120510268100,39.032358,-88.870101
613284,120314852400,41.95,-87.476667
507645,121672267000,39.846075,-89.274213
545511,120970389000,42.435302,-87.860647
285830,120953266000,40.992778,-90.185833
483915,121792448200,40.668417,-89.46283
335870,121232056400,41.000904,-89.402435
247718,120490138800,39.031578,-88.535923
353906,121310038400,41.220982,-90.687766
92413,121910437800,38.343067,-88.504904
183490,120333566500,39.055953,-87.875088
128935,120270082600,38.677124,-89.270966
525195,121732235100,39.240374,-88.526164
443165,121832279100,40.267321,-87.647166
455252,120990119300,41.586055,-88.918717
319518,121113771500,42.228589,-88.611462
279599,120932153200,41.604933,-88.278326
387908,121090076300,40.420229,-90.693834
496799,121392096300,39.718377,-88.48347
220317,120632249100,41.339311,-88.397157
167381,121050072701,41.035828,-88.698668
333033,121672592400,39.810098,-89.607233
1067,120333111000,39.002202,-87.83766
27344,121010814100,38.719197,-87.772261
64415,120550222401,38.075503,-88.89066
342304,121352295900,39.101655,-89.488423
631013,121170112700,39.252867,-89.970849
602358,120152213200,42.182222,-89.876389
396598,120973544500,42.382019,-88.135577
111281,120330637500,39.001142,-87.874058
540196,120932272600,41.645204,-88.5806
438788,120430097400,41.757917,-88.063938
564718,120532060300,40.558215,-88.414734
559090,120892818800,42.07888,-88.297791
439729,120430199300,41.830399,-88.169594
178179,121010267400,38.629851,-87.69071
368606,120112144300,41.359033,-89.664026
470110,121933175400,38.227361,-87.978908
370614,120192252900,40.33733,-88.315009
97067,120590254300,37.786376,-88.136945
472025,120292384600,39.423259,-88.045071
267471,121450067400,38.045977,-89.288439
474035,120310211600,41.719237,-87.826214
555548,120892251200,41.856477,-88.278959
287981,121973791500,41.53251,-87.978056
203786,120912733300,41.212133,-87.593983
484382,120752322500,40.826454,-87.585172
628174,120314428900,41.996418,-87.952346
347228,121612377600,41.329086,-90.626448
295281,121973378300,41.50592,-88.243189
229679,121972563900,41.439895,-87.826928
367676,120152092400,42.188804,-89.851552
603169,120314951900,41.991791,-87.709822
523580,122012300000,42.307125,-89.158778
631329,120650372100,38.108428,-88.444031
137771,121890216900,38.29225,-89.684772
392537,120972954400,42.402468,-88.180493
149530,120331705101,39.055863,-87.923236
203527,121974250500,41.501233,-87.855467
331377,121113671900,42.211112,-88.292877
111196,120330924400,39.04995,-87.896042
104585,121930300500,37.996576,-88.159062
173183,121930750800,38.056503,-88.270014
153870,121590069100,38.842818,-88.252501
380084,120092237500,39.911611,-90.845343
200833,120313521600,42.015553,-88.249987
502975,121650163600,37.712094,-88.683521
537160,120452292800,39.614266,-87.630925
64104,120490113701,39.061264,-88.447429
25807,120331417700,39.070067,-87.72096
253336,121190020300,38.909476,-90.044152
399448,120312836200,41.58933,-87.853746
40561,120250362000,38.749576,-88.342512
347217,120532129000,40.458494,-88.118831
520203,122010055000,42.251166,-89.037507
278256,120912267400,41.049076,-87.774889
203282,121114264300,42.331721,-88.248838
560833,120892318000,41.765791,-88.280249
451041,120973725300,42.382318,-88.13595
536232,120392076700,40.221295,-88.700178
139635,121350107600,39.319667,-89.473839
614079,121572341100,38.212113,-89.712794
339368,121272024000,37.238102,-88.693472
523583,122012300300,42.307938,-88.984906
203632,121612389700,41.44165,-90.5648
107449,121932954600,37.93246,-88.109119
528009,121790013200,40.541691,-89.682025
213538,120812426500,38.268151,-88.846209
84799,121890030400,38.288528,-89.266107
85732,121910536601,38.565618,-88.407745
315163,120552409200,38.086062,-88.980874
356213,120852171900,42.347965,-90.008218
563790,120492359700,39.167705,-88.618099
497751,121410127000,42.099122,-89.23951
52855,121210435303,38.563008,-88.998979
578946,121110145700,42.296067,-88.368436
229349,121972704500,41.546901,-87.992424
15326,120930027200,41.484164,-88.307202
445660,121850221600,38.538533,-87.783617
596927,121092311500,40.407299,-90.857907
210711,120433031900,41.838987,-88.151276
509333,121972433800,41.587617,-88.212208
166163,121933039300,37.978109,-88.19601
409760,121212804600,38.613437,-89.108604
215304,120572448900,40.463346,-90.062394
143331,121910010300,38.410709,-88.534087
613642,120372386400,41.769972,-88.628528
638111,121992271800,37.786242,-88.817371
495065,121352239900,39.192659,-89.651882
491822,121610075300,41.433641,-90.477706
453722,120992394800,41.325851,-88.788152
411978,121433474600,40.934556,-89.590309
488381,121570267700,37.956757,-89.723518
95604,120490089400,38.940923,-88.441196
443419,121830102100,40.128423,-87.682776
183918,121010396301,38.697976,-87.757078
115931,120232469600,39.414378,-87.988002
447108,121890258600,38.41074,-89.496018
262923,121433054600,40.745772,-89.905491
501969,121632401100,38.63729,-89.874148
68127,121910499201,38.509533,-88.290987
519716,121990157300,37.73797,-88.763693
314113,121210341700,38.596025,-89.006802
254134,121113823900,42.359868,-88.259997
336969,121252114700,40.267952,-89.631396
35856,121672354000,39.597707,-89.657622
345585,121114199300,42.227184,-88.358788
499902,121412359400,42.182829,-89.306369
339450,121310016400,41.110801,-90.795694
61341,120812480000,38.335512,-89.093529
522107,122012579900,42.382276,-89.060153
312101,121192495100,38.686004,-89.929722
381263,120152180200,42.154,-89.87391
397858,120312885700,42.096716,-88.164215
245749,120432685900,41.985923,-88.039962
207917,120972867100,42.491273,-87.82687
137623,120490010001,38.925093,-88.618266
180496,121352182900,39.26487,-89.440023
181856,121933215800,37.937429,-88.287398
484876,120974610100,42.476605,-88.091242
341670,121350161400,39.200778,-89.53445
200991,120893643200,42.078776,-88.249201
12752,120790043800,38.97903,-88.189597
128989,121212624900,38.69621,-88.763578
128753,120270066101,38.550041,-89.152892
168653,121210086400,38.575654,-88.975843
73101,120590122700,37.732613,-88.077923
440307,120430215700,41.771134,-87.962475
117336,120952274600,41.109103,-90.003111
401779,120333480100,39.036299,-87.895197
77647,120512882900,39.1391,-88.85693
136483,121910047101,38.419576,-88.462586
436662,120392062200,40.153638,-88.988372
602625,120315164800,41.91588,-87.66764
304769,121112516300,42.248061,-88.241234
221708,120690041000,37.486403,-88.407436
559871,120892664100,41.93331,-88.446704
323420,121732440100,39.216111,-88.6175
405206,121592602100,38.697357,-88.218782
58397,121712017700,39.57707,-90.449934
398495,120312909100,42.103613,-87.954917
108918,120590204300,37.877166,-88.11274
415322,120512814900,38.987092,-89.120641
428135,121113222800,42.423129,-88.659607
472189,120292278000,39.599093,-88.072686
496146,121410077800,42.002579,-89.345222
129718,120512622100,38.972077,-88.915508
510859,121972790200,41.233158,-88.100612
294822,120032072800,37.235265,-89.411182
480465,121792447600,40.503743,-89.733904
267626,121432490800,40.966076,-89.533726
531309,121832324800,40.305965,-87.787453
479124,120974478900,42.160052,-88.04945
34180,120792412900,39.064177,-88.115602
596124,122013330500,42.343634,-88.963906
240846,120072218900,42.224316,-88.890345
578047,121110122000,42.42734,-88.202304
221902,120690047600,37.459441,-88.323069
215644,120572457200,40.686402,-90.007129
437107,120372269300,41.631711,-88.639509
294738,121792299400,40.398979,-89.399657
452408,120973826100,42.273338,-88.13768
356926,121132474900,40.558062,-89.040657
452375,120973759900,42.378623,-88.165622
239791,120070036700,42.427802,-88.906271
602005,120872081000,37.406389,-88.723333
529445,121792211900,40.394299,-89.587652
90837,120410070901,39.665604,-88.33921
332351,120192320300,40.284625,-88.138974
43607,121930647401,37.985,-88.101507
465378,120852219700,42.414552,-90.161148
604519,121652699100,37.829663,-88.639272
351120,121192971100,38.840013,-90.023951
119483,121212684800,38.69251,-88.750526
401120,120333412500,38.870637,-87.667791
101974,122030021000,40.865267,-89.409665
173421,120210083900,39.579566,-89.11278
469344,120752286100,40.604366,-87.865579
238253,120072152500,42.267522,-88.937031
201042,120975080600,42.429051,-88.093229
341933,121332194700,38.335581,-90.0622
361087,121432267300,40.928953,-89.869565
56910,121210260600,38.553839,-89.022431
340150,121332213300,38.254175,-90.098608
538472,120092214100,40.103055,-90.818308
349074,120072436800,42.335532,-88.867016
621856,120314494600,41.622653,-87.6164
239781,120070035700,42.25332,-88.769478
204568,121832638700,40.122517,-87.747183
459268,121974123400,41.24821,-88.031614
427085,121112806800,42.260813,-88.285726
458462,120512820500,39.028874,-89.117846
464826,120912546100,41.116346,-87.75216
66992,120350158000,39.327092,-88.035778
300403,121552084200,41.277739,-89.305502
197054,120290159300,39.666423,-87.986248
26955,120331364700,38.919954,-87.804044
432551,121150050500,39.918541,-88.953143
297266,121973271000,41.485373,-88.187491
184680,120092197200,39.943412,-90.875503
230434,121972580800,41.696864,-88.188107
516482,121973696300,41.303296,-87.594262
174687,120232523300,39.46858,-87.583882
538141,121292030400,40.003458,-89.93545
425396,120973960700,42.399476,-88.094627
544562,120972507100,42.423879,-87.845912
325475,120893688000,41.869648,-88.459319
240441,120052182900,39.0269,-89.399994
522171,122012338900,42.25858,-88.97726
397608,120313019400,42.121629,-87.947736
161881,121010629300,38.680996,-87.705809
510408,121972617200,41.475402,-87.928062
317093,121433026000,40.770251,-89.880725
381167,121952381000,41.816121,-89.989314
449519,121890207000,38.327285,-89.541104
458617,121013160000,38.743775,-87.849594
365893,120592498900,37.704519,-88.353026
233863,120052364100,39.025572,-89.540065
155880,120230578400,39.41764,-87.961365
224480,121952171500,41.805465,-89.772669
316547,120974241700,42.264886,-88.071807
333097,120893322400,41.978255,-88.370814
38836,120210074900,39.73816,-89.200631
